Purpose Code,Categorization
"TV AND DIGITAL ADVERTISEMENT RAND PAUL SUPPORTS THOM TILLIS SUPPORTING THOM TILLIS, 10/15 - 10/24.",digital
"TV AND DIGITAL OPPOSING TED STRICKLAND, THE NUMBERS, 4/7 - 4/22.",digital
TV ADS TOTALLY UNACCEPTABLE DEADBEAT,media
TV ADS WARNING ERASED,media
TV ADS BURNED DIGNITY,media
TV ADS WRONG FOR WISCONSIN WRONG AGAIN,media
"TV ADVERTISEMENT CHICKEN DANCE OPPOSING BRUCE BRALEY, 10/22 - 11/4.",media
"TV AND DIGITAL ADVERTISEMENT BETTER WAY OPPOSING KAY HAGAN, 9/4 - 9/17.",digital
"TV AND DIGITAL ADVERTISEMENT BETTER WAY SUPPORTING THOM TILLIS, 9/4 - 9/17.",digital
TV ADVERTISING; PLACEMENT COST (ALSO OPPOSES JOHN DELANEY),media
TV AD PLACEMENT: BATTLE BORN,media
"PRODUCTION, TV AND DIGITAL ADVERTISEMENT, LOVE IN SUPPORT OF PAT TOOMEY 4/29 - 5/18.",digital
"PRODUCTION, TV AND DIGITAL FOR THREE ADS SUPPORTING JOE HECK FOR SENATE, APRIL 25 - MAY 5.",digital
"MEDIA OPPOSING EVAN BAYH, AUGUST 28 - SEPTEMBER 7",media
"MEDIA SUPPORTING TODD YOUNG, AUGUST 28 - SEPTEMBER 7",media
TV AND CABLE MEDIA BUY 10/26/12-11/5/12,media
"TELEVISION AD AIR BUY, PRODUCTION COSTS",media
TELEVISION MEDIA BUY - PROMISE,media
TELEVISION MEDIA BUY - 'PROMISE',media
TV ADVERTISING/PRODUCTION,media
TV ADVERTISING -- PRODUCTION AND PLACEMENT,media
MEDIA PRODUCTION AND PURCHASE,media
DIRECT VOTER CONTACT/DIRECT MARKETING,field
TV ADS 'BETTER PEOPLE',media
"CANVASS, BIRD-DOGGING & RALLIES",field
ADVERTISING SERVICES AND PRODUCTION,media
ADVERTISING-PLACEMENT OF WEB RADIO AD (CHANGE),digital
RADIO AD 'BOGUS',media
TV AD PRODUCTION & PLACEMENT: MOMENT,media
SALARY / BENEFITS,administrative
BROADCAST MEDIA BUY,media
MAIL PRODUCTION AND POSTAGE COSTS,media
DIGITAL AD DISTRIBUTION,digital
MEDIA BUY/PRODUCTION COSTS (CO),media
TELEVISION AND ONLINE VIDEO ADS,digital
MESSAGE PHONE CALLS,field
TV/RADIO PLACEMENT & PRODUCTION,media
MEDIA PLACEMENT - TV/DIGITAL,media
INTERNET ADVERTISING; ALSO OPPOSES MITT ROMNEY,digital
TELEVISION ADVERTISING AND PRODUCTION,media
MEDIA BUY - TV/CABLE/DIGITAL,media
TV ADS 4/30+ TIME AND PRODUCTION,media
PAID CANVASS - PERSUASION & GOTV,field
LIST RENTAL,field
TELEVISON ADVERTISING,media
TV ADVERTISEMENT PLACEMENT.,media
PRODUCTION AND POSTAGE FOR POLITICAL MAIL,administrative
SALARY AND BENFITS,administrative
PRINTING TELEPHONE CALLS & CANVASSING ESTIMATE - GOTV,field
"TV AND DIGITAL MEDIA SUPPORTING JOHN MCCAIN JUNE 23-30, 2016.",digital
RADIO ADS PAY TRADE,media
TELEVISION AND RADIO PRODUCTION AND MEDIA BUY - MAKES SENSE,media
BROADCAST AND RADIO ADVERTISING.,media
TV AND RADIO ADVERTISING,media
SERIES OF MAIL PIECES,administrative
IE-KATKO-MEDIA BUY,media
TELEVISION PRODUCTION,media
MEDIA BUY AND PRODUCTION COSTS,media
PRINTING AND POSTAGE OF MAIL PIECES,administrative
VOTER CONTACT MAIL - BLAME,field
VOTER CONTACT CALLING,field
TV AD PRODUCTION & PLACEMENT: FORM LETTERS,media
TV AD 'NICE',media
TELEVISION ADVERTISING OF 'TROUBLES',media
TV AD PRODUCTION AND AIR TIME START 9/18,media
TV AD PRODUCTION & PLACEMENT: HANDS,media
TV AD PRODUCTION & PLACEMENT: TIED,media
"MEDIA BUY, PRODUCTION, MAILING COSTS",media
MEDIA BUY - CABLE,media
STUDIO TV AD PROD & AIR TIME PURCH,media
RADIO AD - ENOUGH,media
TV AD WEAKEN US,media
TV ADVERTISEMENT 'DISHONORABLE',media
INTERNET ADVERTISING EXPENSE,digital
MEDIA BUY - CABLE/TV/DIGITAL,media
PRINTING AND POSTAGE,administrative
MEDIA BUY - CABLE/TV/DIGITAL ADVERTISING,media
MAIL PRODUCTION AND POSTAGE COSTS (ESTIMATE),administrative
"TV AND DIGITAL MEDIA SUPPORTING JOE HECK, WORKING HARD, 5/31 - 6/24.",digital
"TV AND DIGITAL MEDIA OPPOSING CATHERINE CORTEZ-MASTO, WORKING HARD, 5/31 - 6/24.",digital
"TV AND DIGITAL MEDIA OPPOSING CATHERINE CORTEZ-MASTO, WORKING HARD, BEGINS 7/5/16.",digital
TV ADS SPECIAL GENERAL AIR 1/13+,media
TELEVISION PRODUCTION; ALSO SUPPORTS NEWT GINGRICH,media
MAIL PRODUCTION COSTS POSTAGE,administrative
TV AD AIR BUY TOUGH GUY,media
AD AND WEBSITE PRODUCTION,digital
"TELEVISION AND DIGITAL MEDIA OPPOSING KATIE MCGINTY, JUNE 2 - JUNE 22.",digital
"TELEVISION AND DIGITAL MEDIA SUPPORTING PAT TOOMEY, JUNE 2 - JUNE 22.",digital
TV ADVERTISEMENT BUY AND PRODUCTION,media
ON-LINE ADVERTISING,digital
"TV, DIGITAL, MAIL AND PHONE CAMPAIGNS SUPPORTING DREW FERGUSON JULY 15 - JULY 26, 2016.",digital
DIGITAL MEDIA BUY AND PRODUCTION EXPENSE (ESTIMATED),digital
NATIONAL GOTV BUS TOUR,field
TELEVISION PLACEMENT AND PRODUCTION,media
INKIND STAFF,administrative
TELEVISION ADVERTISING OF 'DOOR',media
TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION AND BUYS -  'GUNS INTERNET',digital
TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION AND BUYS - GUNS INTERNET,digital
TV ADS 'WHAT'S THE DEAL',media
TV ADS - REGULAR GUY,media
RADIO AD CONFESSION OF JUDGEMENT,media
TV AD LONG ENOUGH,media
PAC MEDIA PRODUCTION,media
PUPIL TV AD PROD & AIR TIME PURCH,media
BROADCAST AND CABLE TELEVISION,media
TELEVISION ADVERTISEMENT PURCHASE,media
MEDIA PLACEMENT-ALSO OPPOSE TRUMP RUBIO & KASICH,media
CONTRIBUTION FOR IE-FIELD CANVASS,field
SOCIAL MEDIA,digital
SPENDING PLACEMENT\TTV PURCHASE,media
EST. PAYMENT FOR RALLY EXPENSES,field
"TV AND DIGITAL ADVERTISEMENT HERSCHEL SUPPORTING JACK KINGSTON, 5/28 - 6/17.",digital
TV SPOT FOR MI - 'DIRT',media
GOTV LIVE CALLS,field
ESTIMATED COST:  CANVASSING SERVICES,field
STANDING PLACEMENT\TTV PURCHASE,media
PUMPING IRON PLACEMENT\TTV PURCHASE,media
PLACEMENT TV PURCHASE,media
MEDIA BUY - RADIO SPOTS  (PA),media
CANVASSES,field
"TV, DIRECT MAIL, PHONES, ONLINE",media
CABLE TV BUY (TRAINED),media
IE-INNIS-MEDIA BUY,media
PRINTING AND POSTAGE OF MAIL PIECE,media
"MEDIA OPPOSING EVAN BAYH, 10/20/16 - 11/8/16.",media
"MEDIA SUPPORTING TODD YOUNG, 10/20/16 - 11/8/16.",media
MEDIA PRODUCTION / MEDIA PLACEMENT,media
CANVASING SERVICES,field
TELEVISION PRODUCTION AND MEDIA BUY - HERE,media
TELEVISION AND DIGITAL MEDIA BUY - 'GUNS INTERNET',digital
TELEVISION ADVERTISING (ALSO OPPOSES ROMNEY),media
DIRECT MAIL; ALSO SUPPORTS MITT ROMNEY,fundraising
RADIO AD AIR BUY,media
TV ADS 10/14+,media
TV PLACEMENT,media
TELEVISION ADVERTISING OF 'MINIMUM WAGE',media
DIRECT MAIL - PRINTING,fundraising
TV ADVERTISING OF 'CHOICE' & 'VOLUNTEERED'- ESTIMATE,media
CREATIVE PRODUCTION MEDIA BUY,media
RADIO ADVERTISING - ESTIMATE,media
LIST RENTAL & AUTOMATED PHONE BANKS,field
"SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES",field
MEDIA BUY (BLACKHAWK),media
TV AD PRODUCTION & PLACEMENT: A NEW PATH,media
TELEVISION BUY AND PRODUCTION COST - MIRROR,media
"TV AND DIGITAL AD GREG ORMAN SUPPORTS OBAMA ADMINISTRATION OPPOSING GREG ORMAN, 10/15 - 10/24.",digital
BROADCASE ADVERTISING,media
MEDIA OPPOSING RUSS FEINGOLD,media
ESTIMATE: SERIES OF MAIL PIECES,field
PHONE BANK (ESTIMATE),polling
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/31,field
DOOR-TO-DOOR GOTV FIELD OPERATIONS,field
IE-GLENN-MEDIA BUY,media
BROADCAST AND CABLE TV ONLINE VIDEO ADS,media
MEDIA BUY- TV,media
TELEVISION PRODUCTION; ALSO OPPOSES MITT ROMNEY,media
VOTER CONTACT CALLS OVER SEVERAL WEEKS,field
MEIDA BUY TV,media
TV AD SITTING HERE,media
DOOR TO DOOR VOTER CONTACT (EST.),field
"PRINTING, POSTAGE, MAILSHOP FEES",administrative
TELEVISION MEDIA BUY,media
RADIO AND TELEVISION ADVERTISING AND PRODUCTION; ALSO SUPPORTS NEWT GINGRICH,media
"TV AND DIGITAL MEDIA OPPOSING TED STRICKLAND, BATTLING, 5/20 - 5/27.",digital
"TV AND DIGITAL MEDIA SUPPORTING ROB PORTMAN, BATTLING, 5/20 - 5/27.",digital
TV AD PLACEMENT (DEFEAT PAY-MORE PATRICK),media
DIGITAL ADVOCACY,digital
ONLINE ADVERTISING (MEDIA BUY) - ESTIMATED COST,digital
TELEVSION ADVERTISING,media
TV ADS RUN 3/24+,media
FULFILLMENT ITEMS - BOOKS,administrative
DIGITAL AD BUY AND PRODUCTION (ESTIMATED AMOUNT),digital
RADIO ADVERTISING BUY & PRODUCTION,media
MAIL AND POSTAGE,media
AD BUY - NV NUMBERS,media
MEDIA BUY (DAY),media
TV AD (DEFEAT 'PAY-MORE' PATRICK),media
BROADCAST TV,media
TELEVISION PRODUCTION AND MEDIA BUY - WASHINGTON,media
DIGITAL ADVERTISING (PLACEMENT COST),digital
TV AD 'THIRTY YEARS',media
MEDIA BUY - TV/RADIO,media
TELEVISION PRODUCTION AND MEDIA BUY - CANT AFFORD,media
IE-DEMAIO-MEDIA BUY,media
RADIO & TELEVISION ADVERTISEMENT,media
"TV ADVERTISEMENT RANDY OWEN TILLIS ENDORSEMENT SUPPORTING THOM TILLIS, 10/27 - 11/4.",media
TV / MEDIA PLACEMENT - COAL AD,media
"TV ADVERTISEMENT BROWN ENDORSEMENT SUPPORTING SCOTT BROWN, 10/20 - 11/4.",media
MASS MAILINGS,field
TV BUY - CASH,media
TV MEDIA - DEAL,media
TV MEDIA - 'DEAL',media
TELEVISION ADVERTISING OF 'FAMILY',media
MEDIA BUY BROADCAST,media
TV/CABLE/RADIO AD BUY,consulting
MAD SCIENTIST PLACEMENT\TTV PURCHASE,digital
INTERNET ADS/COMMUNICATIONS,digital
SEARCHING PLACEMENT TV,media
WEB AD PLACEMENT (FIRE HAGAN),digital
TELEVISION PRODUCTION - ESTIMATE,media
CANVASSING-ESTIMATED COSTS,field
MEDIA BUY/    PRODUCTION COSTS (CO),media
TV AD PRODUCTION & PLACEMENT: WORK HARD,media
GOTV PHONE CALLS,field
CANVASSERS,field
IE-GARCIA-MEDIA BUY,media
TV AD PLACEMENT: 'MODERATE',media
TV PRODUCTION,media
"TV AND DIGITAL ADVERTISEMENT LEARN OPPOSING TED STRICKLAND, 7/7 - 7/16.",digital
PAID MEDIA - TV AD,media
MEDIA FIRM PAYMENT,media
TV AD/PRODUCTION,media
ONLINE ADVERTISING-ALSO OPPOSES TRUMP,digital
TV AD - 'DIDN'T TAKE LONG',media
RADIO AD PLACEMENT: ENOUGH,media
"MAIL COSTS, POSTAGE",administrative
PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/29-8/31,field
EMAIL AND INTERNET ADVERTISING,digital
TV AD PRODUCTION & PLACEMENT: PROMISES,media
RADIO AD BUYS,media
TV AD PRODUCTION & PLACEMENT: PAPER,media
MEDIA BUY - TV AND DIGITAL,media
ONLINE MEDIA BUY,digital
TV AD AIR BUY PRODUCTION COSTS MACHINE POLITICIAN,media
ESTIMATED CANVASSER PAYROLL,field
LIST RENTAL COSTS,field
IN KIND: EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/31/12,field
IE-SASSE-MEDIA BUY,media
IE-DONNELLY-MEDIA PRODUCTION/PLACEMENT,media
RADIO AND EMAIL ADVERTISING,digital
VOTER CONTACT,field
MEDIA PRODUCTION ESTIMATED COSTS,media
TV & DIGITAL ADS,digital
"ADVERTISING - TV - ALSO OPPOSES TRUMP, RUBIO",media
TELEVISION ADVERTISING FOR BATTLEGROUND STATES GOTV & BUS TOUR,media
"TV AND DIGITAL ADVERTISEMENT STRONG CREDENTIALS SUPPORTING JONI ERNST, 5/28 - 6/3.",digital
"TV AND DIGITAL ADVERTISEMENT PROMISES SUPPORTING SCOTT BROWN, 9/20 - 10/3.",digital
"TV AND DIGITAL ADVERTISEMENT US SUPPORTING MITCH MCCONNELL, 5/7 - 5/20.",digital
"TV AND DIGITAL ADVERTISEMENT PROMISES OPPOSING JEANNE SHAHEEN, 9/20 - 10/3.",digital
"VIDEO PRODUCTION, PLACEMENT AND TIME PURCHASE",digital
"TV AND DIGITAL ADVERTISEMENT HUB SUPPORTING TERRI LYNN LAND, 4/30 - 5/13.",digital
"TV AND DIGITAL ADVERTISEMENT JEB BUSH SUPPORTS CORY GARDNER SUPPORTING CORY GARDNER, 10/9 - 10/19.",digital
"TV AND DIGITAL ADVERTISEMENT JOB DONE SUPPORTING BOB DOLD, 5/7 - 5/28.",digital
SOCIAL MEDIA PRODUCTION & PLACEMENT: FOUR YEARS & PROMISES,digital
TV AD 'THE BILLIONAIRES',media
TELEVISION PRODUCTION AND MEDIA BUY - FAR ENOUGH,media
"TV ADVERTISEMENT FIGHTER SUPPORTING MARK KIRK, 7/16 - 7/22.",media
"TV ADVERTISEMENT DELIVER SUPPORTING THAD COCHRAN, 6/13/14 - 6/24/14.",media
TV AD WORLD; RADIO AD ROMNEY WORLD; INTERNET AD,media
"TV AND DIGITAL ADVERTISEMENT EASY SUPPORTING STEWART MILLS, 5/7 - 5/17.",digital
"TV AND DIGITAL ADVERTISEMENT BROWN ENDORSEMENT SUPPORTING SCOTT BROWN, 9/6 - 10/3.",digital
"TV AND DIGITAL ADVERTISEMENT DELIVERING SUPPORTING PAT TOOMEY, 7/7 - 7/16.",digital
"TV AND DIGITAL ADVERTISEMENT CLOSING AGAINST CHRIS MCDANIEL, 4/15 - 4/29.",digital
PRODUCTION AND MEDIA BUY FOR TELEVISION AND RADIO - VOTE FOR JOBS,media
TV AD - 'FAMILY',media
TV AD PRODUCTION & PLACEMENT: LISTENING,media
TV AD PRODUCTION & PLACEMENT: RAISES,media
IE-CRUZ,media
ESTIMATED SEPTEMBER OUTBOUND VOTER CONTACT CALLS,field
ESTIMATED OCTOBER OUTBOUND VOTER CONTACT CALLS,field
BROADCAST TV BUY (WASTE),media
NATIONAL MEDIA BUY,media
IE-TENNEY-MEDIA BUY,media
CONSULTANTS - DIRECT MAIL,consulting
IE-ROBERTS-MEDIA BUY,media
VOTER CONTACT CALLS & TAKE2 MEDIA (8/1 - 9/21/2012),field
STAFF TIME,administrative
"TV, DIRECT MAIL, PHONES & ONLINE",fundraising
TENNESSEE AD BUYS,media
AD BUY - NV PRIVATIZE,media
DIRECT MAIL - NON-CONTRIBUTION ACCOUNT,fundraising
TV AD PLACEMENT: TRICK-SCHAUER,media
TV ADVERTISING OF 'KNOW',media
TV AND ONLINE ADVERTISING,digital
TELEVISION PRODUCTION AND MEDIA BUY - RECKLESS,media
TELEVISION PRODUCTION AND MEDIA BUY - ENOUGH,media
TELEVISION BUY AND PRODUCTION COST - HIT,media
TELEVISION ADVETISING,media
TV AND CABLE BUY - NV & CO,media
MEDIA DIGITAL AND TV ADVERTISING BUY,digital
TAX AND SPEND PLACEMENT\TTV PURCHASE,administrative
TV MEDIA PLACEMENT:  ROBBED,media
INTERNET AD,digital
TV AD PRODUCTION & PLACEMENT: FOUR YEARS,media
POSTAGE PRINT PRODUCTION DESIGN,administrative
TV AD AIR BUY PRODUCTION COSTS LAUGHABLE,media
"TV AND DIGITAL ADVERTISEMENT VOTE FOR SCOTT BROWN TV 15, 10/29 - 11/4.",digital
ADVERTISING PURCHASE,media
GOTV - ONLINE ADVERTISING,digital
"MAILING - PRINTING, POSTAGE, CREATIVE DESIGN",media
NEIGHBORS TV PURCHASE,media
ESTIMATED OCTOBER EXTERNAL DEPLOYMENT LIST RENTAL AND ONLINE VOTER CONTACT,digital
"MEDIA OPPOSING MAGGIE HASSAN, 10/21 - 10/29.",media
"MEDIA SUPPORTING KELLY AYOTTE, 10/21 - 10/29.",media
OCTOBER-NOVEMBER AD CAMPAIGN - ONLINE ADS,media
DIRECT MAIL PRODUCTION & POSTAGE,fundraising
TV ADVERTISEMENT - BATTLE BORN,media
SURVEY,polling
RADIO ADS -  ENOUGH,media
PRODUCTION OF MAIL PIECE,administrative
MEDIA PRODUCTION AND TIME BUY,media
TV SCHEDULE,media
MEDIA SCHEDULE PURCHASE,media
ESTIMATE: MEDIA BUY DIGITAL,digital
DIGITAL MEDIA PLACEMENT AND PRODUCTION,digital
IN-KIND: EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 9/1-9/30/12,field
POSTAGE (ESTIMATED COST),administrative
MEDIA BUY; ALSO OPPOSES RICK SANTORUM AND SUPPORTS MITT ROMNEY,media
OUTBOUND VOTER CONTACT CALLS,field
MEIDA,media
ESTIMATED PRE-PAID AD BUY BUDGET,media
"TV AND DIGITAL ADVERTISEMENT BILL NORTHEY FOR JONI ERNST SUPPORTING JONI ERNST, 9/10/14 - 10/7/14.",digital
RADIO MEDIA BUY-ALSO SUPPORTS THOM TILLIS,media
MEDIA BUY - TELEVISION,media
PAYROLL,administrative
TV ADS - FUNDER,media
RENTAL VAN,consulting
TELEVISION PRODUCTION AND MEDIA BUY - TOP 5,media
MEDIA PRODUCTION & BUY,media
TELEVISION ADVERTISING OF PROBLEM,media
IE-OPPOSE WARD-MEDIA BUY,media
FACEBOOK ADVERTISING,digital
PRINTING AND POSTAGE (ESTIMATED),administrative
DIRECT MAIL -- FLORIDA; ALSO OPPOSES BARACK OBAMA,fundraising
"TV AND DIGITAL ADVERTISEMENT VOICE SUPPORTING MIKE COFFMAN, 5/7 - 5/27.",digital
"ANALYTICS, TV MEDIA PURCHASE",consulting
TELEVISION ADVERTISING OF 'LOVE AFFAIR' & 'PURR',media
MEDIA BUY; ALSO OPPOSES RICK SANTORUM; SUPPORTS MITT ROMNEY,media
BIRDS PLACEMENT\TTV PURCHASE,media
TV AD PRODUCTION : 'TRICK-HECK',media
SPANISH LANGUAGE TELEVISION AD,media
TELEVISION ADVERTISING OF 'MAP',media
"MEDIA PLACEMENT-NATIONALLY DISSEMINATED, ALSO OPPOSES TRUMP AND CRUZ",media
TV ADS AIR 5/20+ FOR PRIMARY RUNOFF,media
TELEVISION AD PRODUCTION AND MEDIA BUY - FAILED,media
CABLE TV BUY,media
DIRECT MAILER,fundraising
TELEVISION AD PRODUCTION AND MEDIA BUY - ITS GOOD,media
TELEVISION ADS & PRODUCTION - ESTIMATE,media
IE-FOSTER-MEDIA BUY,media
TV AD PRODUCTION COST,media
TV AD DISSEMINATION - 'FIGHTING FOR NEW HAMPSHIRE',media
BROADCAST TV BUY (TULSI),media
TELEVISION ADVERTISING & PRODUCTION OF 'TAKES CARE',media
TV AD  'PRIORITIES',media
SEARCH AD: PRESIDENTIAL,media
DIGITAL AD,digital
ONLINE AD BUY AND PRODUCTION COSTS,digital
TV AD PLACEMENT: TRICK-OLIVERIO,media
TELEVISION AD PRODUCTION,media
TELEVISION PRODUCTION AND MEDIA BUY - REAL,media
TV AND ONLINE AD,digital
ADVERTISING - INTERNET,digital
PERSUASION PHONE CALLS,field
IN-KIND:  PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/31,field
IE-MACK-VOTER ID MAILING,field
IE-MANDEL-VOTER ID MAILING,field
RADIO AD PRODUCTION & PLACEMENT: EVERY DAY,media
RADIO AD PRODUCTION & PLACEMENT: WORRIED,media
RADIO AD PRODUCTION & PLACEMENT: PARTY LINE,media
ADVERTISING - MEDIA PLACEMENT,media
TV AD ANYWHERE,media
RADIO AD PRODUCTION AND BUY,media
"NEW TV AD AIR BUY, PRODUCTION COSTS",media
TELEVISION PRODUCTION AND MEDIA BUY - FACT IS,media
TV & RADIO PRODUCTION AND DISTRIBUTION,media
PLACED MEDIA,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 6/20-6/30,field
TV MEDIA - 'LOOPHOLE',media
TV AND CABLE BUY IN PHILADELPHIA (SACRIFICE),media
PRINTING - CANVASSING LITERATURE,field
TV AD - THEIR WAY,media
ONLINE ADVERTISING SERVICES,digital
ONLINE DIGITAL ADS,digital
LODGING,administrative
SUPPORT FOR INDEPENDENT EXPENDITURE ACTIVITY - TV ADS,media
PLACEMENT FOR TV ADVERTISING (BOOTS),media
MEDIA BUY/    PRODUCTION COSTS (OH),media
NANCY PLACEMENT TV PURCHASE,media
TELEVISION MEDIA BUY - 'GUNS INTERNET',media
TV ADS - A LOT TO SAY,media
DIRECT MAIL & POSTAGE,fundraising
TV BUY - ALLIES,media
ADVERTISING - RADIO,media
NEWSPAPER AD,media
TV ADS FIELD MATERIALS OPERATIONS ETC FOR BATTLEGROUND STATES GOTV BUS TOUR,media
TELEVISION AD BUY AND PRODUCTION,media
PRODUCTION OF AD; CABLE AND TV BUY,media
TELEVISION AND DIGITAL ADVERTISEMENTS,digital
MEDIA BUY/PRODUCTION,media
TV AD PLACEMENT: TRICK-BRIGHT,media
TELEVISION AND DIGITAL ADVERTISEMENT MEDIA BUYS - 'NEWTOWN',digital
TELEVISION AND DIGITAL ADVERTISEMENT MEDIA BUYS - NEWTOWN,digital
DIRECT MAIL ADVERTISEMENTS.,fundraising
TELEVISION ADVERTISING PRODUCTION,media
TV ADS - WAY OUT,media
VOTER CONTACT OVER SEVERAL WEEKS,field
PHONE CALLS/PRINTING/LIT. DISTRIBUTION,field
'INSIDER BARBER' AND 'CLEAR' TELEVISION ADVERTISEMENTS,media
"TV AND DIGITAL ADVERTISEMENT US SUPPORTING MITCH MCCONNELL, 10/28 - 11/3.",digital
"TV AND ONLINE ADVERTISEMENT JOLLY SUPPORTING DAVID JOLLY, 2/4 - 3/11.",digital
TELEVISION BUY AND PRODUCTION COST - MAINERS KNOW,media
TELEVISION PRODUCTION AND MEDIA BUY - CAN'T GAMBLE,media
"TV ADVERTISEMENT JUDGMENT AGAINST ALEX SINK, 2/6 - 3/11.",media
"TV ADVERTISEMENT STAMP AGAINST ALEX SINK, 2/28 - 3/10.",media
"TV AND DIGITAL ADVERTISEMENT BATTLE SUPPORTING JOE HECK, 7/15 - 7/28.",digital
ADVERTISING - PLACEMENT OF WEB AD (NEW IDEAS ET AL.),digital
CONTRIBUTION FOR IE MAILERS,media
MEDIA PLACEMENT - NATIONAL CABLE BUY ON FOX NEWS AND MSNBC,media
MEDIA BUY - RADIO AD (PA),media
TELEVISION BUY - 10/25/2012,media
IE-RUIZ-MEDIA BUY,media
TELEVISION ADVERTISING OF 'FORGET',media
RADIO AND ONLINE ADVERTISING,digital
MEDIA PLACEMENT - RADIO,media
CANVASSING SALARY & BENEFITS,field
POSTAGE FOR MAIL LPIECE,administrative
GENERIC CMTE. MEDIA BUYS,media
TELEVISION ADVERTISING OF 'BETRAYED',media
ONLINE DIGITAL MEDIA BUY,digital
IE-MCCONNELL-MEDIA BUY,media
GRASSROOTS OUTREACH & LITERATURE,field
VOTER OUTREACH CALLS,field
FLORIDA FIRST DIGITAL ADVERTISEMENT,digital
GRASSROOTS MATERIAL & DISTRIBUTION,field
WEB MEDIA,digital
TELEVISION PRODUCTION AND MEDIA BUY - SEVERE,media
TELEVISION PRODUCTION AND MEDIA BUY - BROKEN TRUST,media
TELEVISION ADVERTISING OF 'DOCTOR'S ORDERS',media
